pdb_id,ligand_id,ligand_name,ligand_smiles,resolution,protein_species,binding_site_region,s1_occupancy,s2_s4_occupancy,solvent_front_exit_vector,key_residue_contacts,water_mediated_contacts,pose_quality_notes,source_url,doi
1XX9,NAG,2-acetamido-2-deoxy-beta-D-glucopyranose,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O,2.2,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,"RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=D-saccharide, beta linking",https://www.rcsb.org/structure/1XX9,10.1074/jbc.M411309200
1XXF,NA,SODIUM ION,[Na+],2.6,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=non-polymer,https://www.rcsb.org/structure/1XXF,10.1074/jbc.M411309200
1ZHM,BEN,BENZAMIDINE,[H]/N=C(\c1ccccc1)/N,1.96,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=non-polymer,https://www.rcsb.org/structure/1ZHM,10.1107/S0907444905024340
1ZHM,GSH,GLUTATHIONE,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,1.96,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=peptide-like,https://www.rcsb.org/structure/1ZHM,10.1107/S0907444905024340
1ZHP,BEN,BENZAMIDINE,[H]/N=C(\c1ccccc1)/N,2.7,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=non-polymer,https://www.rcsb.org/structure/1ZHP,10.1107/S0907444905024340
1ZHP,GSH,GLUTATHIONE,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,2.7,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=peptide-like,https://www.rcsb.org/structure/1ZHP,10.1107/S0907444905024340
1ZHR,BEN,BENZAMIDINE,[H]/N=C(\c1ccccc1)/N,1.73,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=non-polymer,https://www.rcsb.org/structure/1ZHR,10.1107/S0907444905024340
1ZLR,SO4,SULFATE ION,[O-]S(=O)(=O)[O-],2.5,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=non-polymer,https://www.rcsb.org/structure/1ZLR,10.1016/j.bmcl.2006.07.043
1ZLR,368,"(1R)-2-{[AMINO(IMINO)METHYL]AMINO}-1-{4-[(4R)-4-(HYDROXYMETHYL)-1,3,2-DIOXABOROLAN-2-YL]PHENYL}ETHYL NICOTINATE",[H]/N=C(/N)\NC[C@@H](c1ccc(cc1)B2OC[C@H](O2)CO)OC(=O)c3cccnc3,2.5,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=non-polymer,https://www.rcsb.org/structure/1ZLR,10.1016/j.bmcl.2006.07.043
1ZLR,GOL,GLYCEROL,C(C(CO)O)O,2.5,Homo sapiens; inferred from CHEMBL2820/P03951 cross-reference,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,needs_verification,RCSB metadata only; binding-site contacts need structure interaction extraction; chem_comp_type=non-polymer,https://www.rcsb.org/structure/1ZLR,10.1016/j.bmcl.2006.07.043
