scaffold_id,scaffold_name,murcko_smiles,generic_murcko_smiles,source_classes,representative_molecules,best_fxia_activity,median_fxia_activity,activity_tier,selectivity_evidence,pdb_evidence,sar_depth,patent_crowding,synthetic_accessibility,generation_suitability,recommended_generation_methods,key_exit_vectors,known_liabilities,priority_score,decision,notes
FXIA-SCAF-0001,ChEMBL Murcko scaffold cluster,O=C(Cn1ccc(-c2ccccc2)cc1=O)Nc1ccccc1,CC(CC1CCCCC1)CC1CCC(C2CCCCC2)CC1C,ChEMBL activity records,CHEMBL3953489;CHEMBL3908498;CHEMBL3963222;CHEMBL3956938;CHEMBL3893331,0.6 nM,35 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,875 ChEMBL assay rows; 84 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0002,ChEMBL Murcko scaffold cluster,O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2ccccc2N1,CC1CCCCC(C2CCC(C3CCCCC3)CC2C)C2CCCC(C2)C2CCCCC2C1,ChEMBL activity records,CHEMBL3260339;CHEMBL4638245;CHEMBL4112474;CHEMBL4114880;CHEMBL4107149,0.03 nM,7.62 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,330 ChEMBL assay rows; 108 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0003,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)C(CC1CC1)c1ccc(-c2ccccc2)c[nH+]1,CC(CC1CCCCC1)C(CC1CC1)C1CCC(C2CCCCC2)CC1,ChEMBL activity records,CHEMBL6043480;CHEMBL6034627;CHEMBL5826840;CHEMBL5826987;CHEMBL5967023,0.3 nM,24 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,189 ChEMBL assay rows; 29 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0004,ChEMBL Murcko scaffold cluster,O=C(Cn1ccc(-c2ccccc2-n2ccnn2)cc1=O)Nc1ccc2n[nH]cc2c1,CC(CC1CCC2CCCC2C1)CC1CCC(C2CCCCC2C2CCCC2)CC1C,ChEMBL activity records,CHEMBL5407035;CHEMBL5405411;CHEMBL5436016;CHEMBL5429900;CHEMBL5433653,0.65 nM,1.4 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,167 ChEMBL assay rows; 27 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0005,ChEMBL Murcko scaffold cluster,O=C(Cn1ccc(-c2ccccc2-n2ccnn2)cc1=O)Nc1ccccc1,CC(CC1CCCCC1)CC1CCC(C2CCCCC2C2CCCC2)CC1C,ChEMBL activity records,CHEMBL5427131;CHEMBL5394778;CHEMBL5395642;CHEMBL5402871;CHEMBL5394263,0.62 nM,1.4 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,161 ChEMBL assay rows; 28 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0006,ChEMBL Murcko scaffold cluster,O=C(Nc1ncc[nH]1)[C@@H]1[C@@H](Cc2ccncc2)C(=O)N1C(=O)NCc1ccccc1,CC(CCC1CCCCC1)C1C(C)C(CC2CCCCC2)C1C(C)CC1CCCC1,ChEMBL activity records,CHEMBL5430121;CHEMBL5890612;CHEMBL5844435;CHEMBL5865484;CHEMBL5782726,10 nM,10 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,157 ChEMBL assay rows; 52 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0007,ChEMBL Murcko scaffold cluster,O=C(/C=C/c1ccccc1-n1cnnn1)N[C@H]1CCCCCNc2ccccc2-c2c[nH]c1n2,CC(CCC1CCCCC1C1CCCC1)CC1CCCCCCC2CCCCC2C2CCC1C2,ChEMBL activity records,CHEMBL3699163;CHEMBL3699209;CHEMBL3699175;CHEMBL3699210;CHEMBL3699211,0.22 nM,19 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,156 ChEMBL assay rows; 36 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0008,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)C(CC1CC1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL3925210;CHEMBL3946990;CHEMBL3927359;CHEMBL3982049;CHEMBL3952719,1.6 nM,39 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,137 ChEMBL assay rows; 9 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0009,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)C(Cc1ccccc1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL6046187;CHEMBL5978879;CHEMBL6054315;CHEMBL5997272;CHEMBL5739558,17 nM,54 nM,Tier B,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,129 ChEMBL assay rows; 22 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0010,ChEMBL Murcko scaffold cluster,O=C(Cn1ccc(-c2ccccc2-n2ccnn2)cc1=O)Nc1ccc2nccnc2c1,CC(CC1CCC2CCCCC2C1)CC1CCC(C2CCCCC2C2CCCC2)CC1C,ChEMBL activity records,CHEMBL5417896;CHEMBL5418189;CHEMBL5849567;CHEMBL5749327;CHEMBL5777367,0.55 nM,1.3 nM,Tier A,needs_verification,needs_verification,chembl_activity_cluster,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,128 ChEMBL assay rows; 22 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
