candidate_id,smiles,docking_rank,source_models,cnn_score,cnn_affinity,minimized_affinity_kcal_mol,mw,tpsa,clogp,hbd,hba,rotatable_bonds,formal_charge,sa_score,lipinski_rule_of_five_violations,max_clinical_similarity,max_patent_proxy_similarity,murcko_scaffold,generic_murcko_scaffold,ecfp_cluster_id,pose_qc_pass,pose_qc_flags,parent_inchi_key,parent_smiles,pose_sdf
FXIA-GEN-016137,COCCCNC(=O)COc1cc(Br)cc(CN)c1Br,1,reinvent_denovo,0.9933962822,6.3217325211,-6.13519,410.106,73.58,2.202,2.0,4.0,8.0,0.0,2.368,0.0,0.124,0.124,c1ccccc1,C1CCCCC1,1,true,ok,LJSMRIMMLCGILX-UHFFFAOYSA-N,COCCCNC(=O)COc1cc(Br)cc(CN)c1Br,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0033_gnina_poses.sdf
FXIA-GEN-016833,NS(=O)(=O)c1ccc(CNS(=O)(=O)c2ccc(O)c(Cl)c2)cc1,2,reinvent_denovo,0.9900402427,6.8981995583,-8.04587,376.843,126.56,1.172,3.0,5.0,5.0,0.0,2.01,0.0,0.122,0.17,O=S(=O)(NCc1ccccc1)c1ccccc1,CC(C)(CCC1CCCCC1)C1CCCCC1,2,true,ok,LVJJQTBAZDBWBQ-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(CNS(=O)(=O)c2ccc(O)c(Cl)c2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0034_gnina_poses.sdf
FXIA-GEN-006788,COc1cc(NC(=O)CCl)c(C(=O)N2CC3CCC2C3)cc1OC,3,reinvent_denovo,0.9898601174,6.5155258179,-7.43616,352.818,67.87,2.506,1.0,4.0,5.0,0.0,3.734,0.0,0.184,0.184,O=C(c1ccccc1)N1CC2CCC1C2,CC(C1CCCCC1)C1CC2CCC1C2,3,true,ok,FJGDAYUIXWRULQ-UHFFFAOYSA-N,COc1cc(NC(=O)CCl)c(C(=O)N2CC3CCC2C3)cc1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0014_gnina_poses.sdf
FXIA-GEN-029436,COC(=O)c1ccc(OC)c(NS(=O)(=O)c2cnc(NN)c(Br)c2)c1,4,reinvent_denovo,0.989690423,6.9359793663,-6.8688,431.268,132.64,1.726,3.0,8.0,6.0,0.0,2.37,0.0,0.159,0.163,O=S(=O)(Nc1ccccc1)c1cccnc1,CC(C)(CC1CCCCC1)C1CCCCC1,4,true,ok,USCDOLDUKUMUAR-UHFFFAOYSA-N,COC(=O)c1ccc(OC)c(NS(=O)(=O)c2cnc(NN)c(Br)c2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0059_gnina_poses.sdf
FXIA-GEN-029493,N#CC(Cc1ccccc1)(OC(=O)C(N)Cc1ccccc1)C(O)c1ccccc1,6,reinvent_denovo,0.9864913225,6.5635209084,-7.74153,400.478,96.34,3.338,2.0,5.0,8.0,0.0,3.389,0.0,0.104,0.161,O=C(CCc1ccccc1)OC(Cc1ccccc1)Cc1ccccc1,CC(CCC1CCCCC1)CC(CC1CCCCC1)CC1CCCCC1,5,true,ok,USVNRGNFZZMMKO-UHFFFAOYSA-N,N#CC(Cc1ccccc1)(OC(=O)C(N)Cc1ccccc1)C(O)c1ccccc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0059_gnina_poses.sdf
FXIA-GEN-019678,C=CCC(C)C(NC(=O)c1cc(N)cc(Cl)c1)S(=O)(=O)c1ccc(C)cc1,7,reinvent_denovo,0.9862688184,7.3419585228,-7.73107,406.935,89.26,3.973,2.0,4.0,7.0,0.0,3.363,0.0,0.147,0.162,O=C(NCS(=O)(=O)c1ccccc1)c1ccccc1,CC(CCC(C)(C)C1CCCCC1)C1CCCCC1,6,true,ok,NQJLPFSPDNHRNB-UHFFFAOYSA-N,C=CCC(C)C(NC(=O)c1cc(N)cc(Cl)c1)S(=O)(=O)c1ccc(C)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0040_gnina_poses.sdf
FXIA-GEN-010105,COc1ccccc1NC(=O)C(C)OC(=O)c1ccccc1N1CCNC1=O,8,reinvent_denovo,0.9860697985,6.276538372,-7.96601,383.404,96.97,2.409,2.0,5.0,6.0,0.0,2.569,0.0,0.189,0.189,O=C(COC(=O)c1ccccc1N1CCNC1=O)Nc1ccccc1,CC(CCC(C)C1CCCCC1C1CCCC1C)CC1CCCCC1,7,true,ok,HLHFPMXMMIFATR-UHFFFAOYSA-N,COc1ccccc1NC(=O)C(C)OC(=O)c1ccccc1N1CCNC1=O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0021_gnina_poses.sdf
FXIA-GEN-026062,COC(=O)C1=C(CC(=O)NCc2ccc(N)cc2)C=C(Cl)NC1(C)C,9,reinvent_denovo,0.9859263897,6.277613163,-7.61147,363.845,93.45,2.207,3.0,5.0,5.0,0.0,2.965,0.0,0.13,0.176,O=C(CC1=CCNC=C1)NCc1ccccc1,CC(CCC1CCCCC1)CC1CCCCC1,8,true,ok,RVHNGSASNLOYPP-UHFFFAOYSA-N,COC(=O)C1=C(CC(=O)NCc2ccc(N)cc2)C=C(Cl)NC1(C)C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0053_gnina_poses.sdf
FXIA-GEN-021513,CCn1c(N)cc2cc(NC(=O)c3ccc(CSC(F)F)o3)ccc21,10,reinvent_denovo,0.9858651161,6.5418801308,-8.29753,365.405,73.19,4.545,2.0,4.0,6.0,0.0,2.706,0.0,0.174,0.174,O=C(Nc1ccc2[nH]ccc2c1)c1ccco1,CC(CC1CCC2CCCC2C1)C1CCCC1,9,true,ok,OWGSIWKJHYYKEC-UHFFFAOYSA-N,CCn1c(N)cc2cc(NC(=O)c3ccc(CSC(F)F)o3)ccc21,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0044_gnina_poses.sdf
FXIA-GEN-001286,O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCCOc1ccccc1,11,reinvent_denovo,0.9854102135,7.0082325935,-9.05363,416.433,90.66,3.847,1.0,6.0,8.0,0.0,2.107,0.0,0.112,0.138,O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCCOc1ccccc1,CC(CCCCC1CCCCC1)CCC(C)C1CC(C2CCCC2)CC2CCCCC21,10,true,ok,AVNZAUAKPYHNPV-UHFFFAOYSA-N,O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCCOc1ccccc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0003_gnina_poses.sdf
