docking_rank,candidate_id,chunk_id,source_models,minimized_affinity_kcal_mol,cnn_score,cnn_affinity,cnn_vs,mw,tpsa,clogp,hbd,hba,rotatable_bonds,formal_charge,sa_score,lipinski_rule_of_five_violations,max_clinical_similarity,max_patent_proxy_similarity,parent_inchi_key,parent_smiles,canonical_smiles,generated_smiles,pose_sdf,analysis_smiles,murcko_scaffold,generic_murcko_scaffold,structure_qc_flags,pose_qc_pass,pose_qc_flags,ecfp_cluster_id,selected_for_admet,selected_for_pre_admet_md,admet_selection_rank,pre_admet_md_selection_rank
1,FXIA-GEN-016137,0033,reinvent_denovo,-6.13519,0.9933962822,6.3217325211,6.2799854279,410.106,73.58,2.202,2.0,4.0,8.0,0.0,2.368,0.0,0.124,0.124,LJSMRIMMLCGILX-UHFFFAOYSA-N,COCCCNC(=O)COc1cc(Br)cc(CN)c1Br,COCCCNC(=O)COc1cc(Br)cc(CN)c1Br,COCCCNC(=O)COc1cc(Br)cc(CN)c1Br,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0033_gnina_poses.sdf,COCCCNC(=O)COc1cc(Br)cc(CN)c1Br,c1ccccc1,C1CCCCC1,ok,true,ok,1,true,false,1,
2,FXIA-GEN-016833,0034,reinvent_denovo,-8.04587,0.9900402427,6.8981995583,6.8294949532,376.843,126.56,1.172,3.0,5.0,5.0,0.0,2.01,0.0,0.122,0.17,LVJJQTBAZDBWBQ-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(CNS(=O)(=O)c2ccc(O)c(Cl)c2)cc1,NS(=O)(=O)c1ccc(CNS(=O)(=O)c2ccc(O)c(Cl)c2)cc1,NS(=O)(=O)c1ccc(CNS(=O)(=O)c2ccc(O)c(Cl)c2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0034_gnina_poses.sdf,NS(=O)(=O)c1ccc(CNS(=O)(=O)c2ccc(O)c(Cl)c2)cc1,O=S(=O)(NCc1ccccc1)c1ccccc1,CC(C)(CCC1CCCCC1)C1CCCCC1,ok,true,ok,2,true,false,2,
3,FXIA-GEN-006788,0014,reinvent_denovo,-7.43616,0.9898601174,6.5155258179,6.4494590759,352.818,67.87,2.506,1.0,4.0,5.0,0.0,3.734,0.0,0.184,0.184,FJGDAYUIXWRULQ-UHFFFAOYSA-N,COc1cc(NC(=O)CCl)c(C(=O)N2CC3CCC2C3)cc1OC,COc1cc(NC(=O)CCl)c(C(=O)N2CC3CCC2C3)cc1OC,COc1cc(NC(=O)CCl)c(C(=O)N2CC3CCC2C3)cc1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0014_gnina_poses.sdf,COc1cc(NC(=O)CCl)c(C(=O)N2CC3CCC2C3)cc1OC,O=C(c1ccccc1)N1CC2CCC1C2,CC(C1CCCCC1)C1CC2CCC1C2,ok,true,ok,3,true,false,3,
4,FXIA-GEN-029436,0059,reinvent_denovo,-6.8688,0.989690423,6.9359793663,6.8644723892,431.268,132.64,1.726,3.0,8.0,6.0,0.0,2.37,0.0,0.159,0.163,USCDOLDUKUMUAR-UHFFFAOYSA-N,COC(=O)c1ccc(OC)c(NS(=O)(=O)c2cnc(NN)c(Br)c2)c1,COC(=O)c1ccc(OC)c(NS(=O)(=O)c2cnc(NN)c(Br)c2)c1,COC(=O)c1ccc(OC)c(NS(=O)(=O)c2cnc(NN)c(Br)c2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0059_gnina_poses.sdf,COC(=O)c1ccc(OC)c(NS(=O)(=O)c2cnc(NN)c(Br)c2)c1,O=S(=O)(Nc1ccccc1)c1cccnc1,CC(C)(CC1CCCCC1)C1CCCCC1,ok,true,ok,4,true,false,4,
6,FXIA-GEN-029493,0059,reinvent_denovo,-7.74153,0.9864913225,6.5635209084,6.4748563766,400.478,96.34,3.338,2.0,5.0,8.0,0.0,3.389,0.0,0.104,0.161,USVNRGNFZZMMKO-UHFFFAOYSA-N,N#CC(Cc1ccccc1)(OC(=O)C(N)Cc1ccccc1)C(O)c1ccccc1,N#CC(Cc1ccccc1)(OC(=O)C(N)Cc1ccccc1)C(O)c1ccccc1,N#CC(Cc1ccccc1)(OC(=O)C(N)Cc1ccccc1)C(O)c1ccccc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0059_gnina_poses.sdf,N#CC(Cc1ccccc1)(OC(=O)C(N)Cc1ccccc1)C(O)c1ccccc1,O=C(CCc1ccccc1)OC(Cc1ccccc1)Cc1ccccc1,CC(CCC1CCCCC1)CC(CC1CCCCC1)CC1CCCCC1,ok,true,ok,5,true,false,5,
7,FXIA-GEN-019678,0040,reinvent_denovo,-7.73107,0.9862688184,7.3419585228,7.2411446571,406.935,89.26,3.973,2.0,4.0,7.0,0.0,3.363,0.0,0.147,0.162,NQJLPFSPDNHRNB-UHFFFAOYSA-N,C=CCC(C)C(NC(=O)c1cc(N)cc(Cl)c1)S(=O)(=O)c1ccc(C)cc1,C=CCC(C)C(NC(=O)c1cc(N)cc(Cl)c1)S(=O)(=O)c1ccc(C)cc1,C=CCC(C)C(NC(=O)c1cc(N)cc(Cl)c1)S(=O)(=O)c1ccc(C)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0040_gnina_poses.sdf,C=CCC(C)C(NC(=O)c1cc(N)cc(Cl)c1)S(=O)(=O)c1ccc(C)cc1,O=C(NCS(=O)(=O)c1ccccc1)c1ccccc1,CC(CCC(C)(C)C1CCCCC1)C1CCCCC1,ok,true,ok,6,true,false,6,
8,FXIA-GEN-010105,0021,reinvent_denovo,-7.96601,0.9860697985,6.276538372,6.1891050339,383.404,96.97,2.409,2.0,5.0,6.0,0.0,2.569,0.0,0.189,0.189,HLHFPMXMMIFATR-UHFFFAOYSA-N,COc1ccccc1NC(=O)C(C)OC(=O)c1ccccc1N1CCNC1=O,COc1ccccc1NC(=O)C(C)OC(=O)c1ccccc1N1CCNC1=O,COc1ccccc1NC(=O)C(C)OC(=O)c1ccccc1N1CCNC1=O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0021_gnina_poses.sdf,COc1ccccc1NC(=O)C(C)OC(=O)c1ccccc1N1CCNC1=O,O=C(COC(=O)c1ccccc1N1CCNC1=O)Nc1ccccc1,CC(CCC(C)C1CCCCC1C1CCCC1C)CC1CCCCC1,ok,true,ok,7,true,false,7,
9,FXIA-GEN-026062,0053,reinvent_denovo,-7.61147,0.9859263897,6.277613163,6.1892642975,363.845,93.45,2.207,3.0,5.0,5.0,0.0,2.965,0.0,0.13,0.176,RVHNGSASNLOYPP-UHFFFAOYSA-N,COC(=O)C1=C(CC(=O)NCc2ccc(N)cc2)C=C(Cl)NC1(C)C,COC(=O)C1=C(CC(=O)NCc2ccc(N)cc2)C=C(Cl)NC1(C)C,COC(=O)C1=C(CC(=O)NCc2ccc(N)cc2)C=C(Cl)NC1(C)C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0053_gnina_poses.sdf,COC(=O)C1=C(CC(=O)NCc2ccc(N)cc2)C=C(Cl)NC1(C)C,O=C(CC1=CCNC=C1)NCc1ccccc1,CC(CCC1CCCCC1)CC1CCCCC1,ok,true,ok,8,true,false,8,
10,FXIA-GEN-021513,0044,reinvent_denovo,-8.29753,0.9858651161,6.5418801308,6.4494113922,365.405,73.19,4.545,2.0,4.0,6.0,0.0,2.706,0.0,0.174,0.174,OWGSIWKJHYYKEC-UHFFFAOYSA-N,CCn1c(N)cc2cc(NC(=O)c3ccc(CSC(F)F)o3)ccc21,CCn1c(N)cc2cc(NC(=O)c3ccc(CSC(F)F)o3)ccc21,CCn1c(N)cc2cc(NC(=O)c3ccc(CSC(F)F)o3)ccc21,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0044_gnina_poses.sdf,CCn1c(N)cc2cc(NC(=O)c3ccc(CSC(F)F)o3)ccc21,O=C(Nc1ccc2[nH]ccc2c1)c1ccco1,CC(CC1CCC2CCCC2C1)C1CCCC1,ok,true,ok,9,true,false,9,
11,FXIA-GEN-001286,0003,reinvent_denovo,-9.05363,0.9854102135,7.0082325935,6.9059839249,416.433,90.66,3.847,1.0,6.0,8.0,0.0,2.107,0.0,0.112,0.138,AVNZAUAKPYHNPV-UHFFFAOYSA-N,O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCCOc1ccccc1,O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCCOc1ccccc1,O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCCOc1ccccc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0003_gnina_poses.sdf,O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCCOc1ccccc1,O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCCOc1ccccc1,CC(CCCCC1CCCCC1)CCC(C)C1CC(C2CCCC2)CC2CCCCC21,ok,true,ok,10,true,false,10,
