molecule_id,name,parent_smiles,activity_type,activity_nm,source_url,confidence,notes
CHEMBL4112929,MILVEXIAN,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,Ki,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/17791791,medium,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5427131,,CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,IC50,1.0,https://www.ebi.ac.uk/chembl/activity_report_card/25530106,medium,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4096251,,COC(=O)Nc1ccc2c(c1)NC(=O)CCc1nc(ccc1F)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,Ki,0.02,https://www.ebi.ac.uk/chembl/activity_report_card/18209480,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4060950,,COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,Ki,0.03,https://www.ebi.ac.uk/chembl/activity_report_card/17956410,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4107149,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(C#N)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,Ki,0.03,https://www.ebi.ac.uk/chembl/activity_report_card/27608258,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL3580759,,CN1CCN(C(=O)C[C@H](NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)c2nc(-c3ccc4[nH]c(=O)cc(O)c4c3)c(Cl)[nH]2)CC1,Ki,0.04,https://www.ebi.ac.uk/chembl/activity_report_card/15617373,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6039093,,COC(=O)Nc1ccc2c(c1)NC(=O)CC[C@@H](C)C[C@H](c1ccc(-c3c(F)ccc(Cl)c3F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.04,https://www.ebi.ac.uk/chembl/activity_report_card/27397748,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4110926,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(OC(F)F)ccc(Cl)c3F)=CC1=O)c1ccnc-2c1,Ki,0.04,https://www.ebi.ac.uk/chembl/activity_report_card/27608339,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4112773,,C[C@@H]1CCC[C@H](N2CCC(c3c(-n4cnnn4)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2ccccc2NC1=O,Ki,0.05,https://www.ebi.ac.uk/chembl/activity_report_card/27608450,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4114881,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(F)ccc(Cl)c3F)=CC1=O)c1nc-2c(Cl)[nH]1,Ki,0.05,https://www.ebi.ac.uk/chembl/activity_report_card/27608651,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4113941,,C[C@@H]1CCC[C@H](N2CCC(c3c(-n4cnnn4)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2cc(F)ccc2NC1=O,Ki,0.05,https://www.ebi.ac.uk/chembl/activity_report_card/27608798,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4115159,,C[C@@H]1CCC[C@H](N2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2cc(C(=O)O)c(N)cc2NC1=O,Ki,0.05,https://www.ebi.ac.uk/chembl/activity_report_card/27608840,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4108927,,C[C@@H]1CCC[C@H](N2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2cc3c(O)cc(=O)[nH]c3cc2NC1=O,Ki,0.05,https://www.ebi.ac.uk/chembl/activity_report_card/27608843,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4097522,,COC(=O)Nc1ccc2c(c1)NC(=O)C[C@@H](C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,Ki,0.06,https://www.ebi.ac.uk/chembl/activity_report_card/18264400,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4113483,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(OC(F)F)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,Ki,0.06,https://www.ebi.ac.uk/chembl/activity_report_card/27608342,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4109568,,Cc1[nH]c2cc3c(cc2c1C(=O)O)-c1ccnc(c1)[C@@H](N1CCC(c2c(F)ccc(Cl)c2F)=CC1=O)CCC[C@@H](C)C(=O)N3,Ki,0.06,https://www.ebi.ac.uk/chembl/activity_report_card/27608495,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4068445,,CN1CCC2(CCN(c3cccc4c3CCN(C(=O)/C=C/c3c(-n5cnnn5)ccc(Cl)c3F)[C@@H]4C(=O)Nc3ccc(C(=O)O)cc3)CC2)C1=O,Ki,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/18144734,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4083769,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,Ki,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/18264405,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5076656,,C[C@@H]1CCC[C@H](N2CCC(c3cc(Cl)ccc3-n3cc(Cl)nn3)=CC2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,Ki,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/24387454,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5934814,,O=C(O)c1ccc(NC(=O)C(CC2CC2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1F,IC50,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/27324011,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4108033,,C[C@@H]1CCC[C@H](N2CCC(c3c(-n4cnnn4)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2cc(F)c(F)cc2NC1=O,Ki,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/27608891,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL3260339,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(Br)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,Ki,0.08,https://www.ebi.ac.uk/chembl/activity_report_card/14642924,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6057268,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(F)ccc3-n3cnnn3)c[n+]1[O-])c1nc-2c[nH]1,Ki,0.08,https://www.ebi.ac.uk/chembl/activity_report_card/27397601,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4115630,,C[C@@H]1CCC[C@H](N2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2ccc(NC(=O)OCCOC(C)(C)C)cc2NC1=O,Ki,0.08,https://www.ebi.ac.uk/chembl/activity_report_card/27608405,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4110983,,C[C@@H]1CCC[C@H](N2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2ccc(NC(=O)OCCO)cc2NC1=O,Ki,0.08,https://www.ebi.ac.uk/chembl/activity_report_card/27608408,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5778140,,O=C1CCCC[C@H](c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])c2cccc(c2)-c2cc(F)ccc2N1,Ki,0.09,https://www.ebi.ac.uk/chembl/activity_report_card/27397169,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
